"LOC" "A" "spattemp_cluster" "samplingpair" "height"
"348" "Monte Generoso, Bellavista-Ost, Hangwiese" 1995 "1995_3" 25 1197.8
"349" "Monte Generoso, Bellavista-Ost, Hangwiese" 1996 "1996_1" 25 1197.8
"350" "Monte Generoso, Bellavista-Ost, Hangwiese" 1997 "1997_2" 25 1197.8
"351" "Monte Generoso, Bellavista-Ost, Hangwiese" 1998 "1998_4" 25 1197.8
"352" "Monte Generoso, Bellavista-Ost, Hangwiese" 1999 "1999_6" 25 1197.8
"353" "Monte Generoso, Bellavista-Süd, Hangwiese" 1995 "1995_3" 25 1141.5
"354" "Monte Generoso, Bellavista-Süd, Hangwiese" 1999 "1999_6" 25 1141.5
"355" "Monte Generoso, Muggiasca, Costa Stangada" 1995 "1995_3" 25 1108.2
"356" "Monte Generoso, Muggiasca, Costa Stangada" 1996 "1996_1" 25 1108.2
"357" "Monte Generoso, Muggiasca, Costa Stangada" 1997 "1997_2" 25 1108.2
"358" "Monte Generoso, Muggiasca, Costa Stangada" 1998 "1998_4" 25 1108.2
"359" "Monte Generoso, Muggiasca, Costa Stangada" 1999 "1999_6" 25 1108.2
"360" "Monte Generoso, Vetta" 1979 "1979_2" NA 1591.7
"361" "Monte Generoso, Vetta" 1980 "1980_2" NA 1591.7
"362" "Monte Generoso, Vetta" 1981 "1981_5" NA 1591.7
"363" "Montfaucon, Montcenez" 2006 "2006_2" 22 865.7
"364" "Montfaucon, Montcenez" 2007 "2007_1" 22 865.7
"365" "Montfaucon, Montcenez" 2008 "2008_1" 22 865.7
"366" "Montfaucon, Plain de Saigne" 2006 "2006_2" 22 858
"367" "Montfaucon, Plain de Saigne" 2007 "2007_1" 22 858
"368" "Montfaucon, Plain de Saigne" 2008 "2008_1" 22 858
"369" "Müstair, Nord, Trockenhang" 1986 "1986_7" 23 1299
"370" "Müstair, Nord, Trockenhang" 1988 "1988_6" 23 1299
"371" "Müstair, Nord, Trockenhang" 1989 "1989_4" 23 1299
"372" "Müstair, Nord, Trockenhang" 1990 "1990_4" 23 1299
"373" "Müstair, Nord, Trockenhang" 1991 "1991_3" 23 1299
"374" "Müstair, Nord, Trockenhang" 1992 "1992_3" 23 1299
"375" "Müstair, Nord, Trockenhang" 2000 "2000_4" 23 1299
"376" "Müstair, Nord, Trockenhang" 2002 "2002_3" 23 1299
"377" "Müstair, Südost, Eingang Val Plazzöl" 1988 "1988_6" 23 1272.5
"378" "Müstair, Südost, Eingang Val Plazzöl" 1989 "1989_4" 23 1272.5
"379" "Müstair, Südost, Eingang Val Plazzöl" 1992 "1992_3" 23 1272.5
"380" "Näfels, Oberseestrasse, Hilari-Rank, Bachtobel" 2011 "2011_2" 26 508.9
"381" "Näfels, Oberseestrasse, Hilari-Rank, Bachtobel" 2012 "2012_7" 26 508.9
"382" "Näfels, Oberseestrasse, Hilari-Rank, Bachtobel" 2013 "2013_7" 26 508.9
"383" "Näfels, Oberseestrasse, Höreli-Rank, Wald" 2011 "2011_2" 26 589.5
"384" "Näfels, Oberseestrasse, Höreli-Rank, Wald" 2012 "2012_7" 26 589.5
"385" "Näfels, Oberseestrasse, Höreli-Rank, Wald" 2013 "2013_7" 26 589.5
"386" "Napf, Luthern, Willmisbach" 1991 "1991_4" NA 858.5
"387" "Napf, Luthern, Willmisbach" 1992 "1992_5" NA 858.5
"388" "Napf, Luthern, Willmisbach" 1993 "1993_3" NA 858.5
"389" "Napf, Luthernbad, Spitzweid" 1991 "1991_4" NA 964.2
"390" "Napf, Luthernbad, Spitzweid" 1992 "1992_5" NA 964.2
"391" "Napf, Romoos, Neumatt" 1991 "1991_4" NA 688.2
"392" "Napf, Romoos, Neumatt" 1992 "1992_5" NA 688.2
"393" "Napf, Romoos, Neumatt" 1993 "1993_3" NA 688.2
"394" "Neudorf, Vogelmoos" 1987 "1987_6" NA 773.6
"395" "Neudorf, Vogelmoos" 1988 "1988_7" NA 773.6
"396" "Nufenenpass, Tessinerseite, Passstrasse" 2008 "2008_4" 27 2454.2
"397" "Nufenenpass, Tessinerseite, Passstrasse" 2009 "2009_5" 27 2454.2
"398" "Nufenenpass, Tessinerseite, Passstrasse" 2010 "2010_5" 27 2454.2
"399" "Nufenenpass, Tessinerseite, Passstrasse" 2011 "2011_7" 27 2454.2
"400" "Nufenenpass, Walliserseite, Passstrasse" 2008 "2008_4" 27 2443.1
"401" "Nufenenpass, Walliserseite, Passstrasse" 2009 "2009_5" 27 2443.1
"402" "Nufenenpass, Walliserseite, Passstrasse" 2010 "2010_5" 27 2443.1
"403" "Nufenenpass, Walliserseite, Passstrasse" 2011 "2011_7" 27 2443.1
"404" "Obino, Waldrand" 1991 "1991_2" NA 577.3
"405" "Obino, Waldrand" 1992 "1992_4" NA 577.3
"406" "Obino, Waldrand" 1993 "1993_2" NA 577.3
"407" "Obino, Waldrand" 1994 "1994_2" NA 577.3
"408" "Ocourt, La Motte, Sur le Chaufour (est)" 2006 "2006_2" 28 427.5
"409" "Ocourt, La Motte, Sur le Chaufour (est)" 2007 "2007_1" 28 427.5
"410" "Ocourt, La Motte, Sur le Chaufour (est)" 2009 "2009_1" 28 427.5
"411" "Ocourt, La Motte, Sur le Chaufour (est)" 2010 "2010_1" 28 427.5
"412" "Ocourt, La Motte, Sur le Chaufour (est)" 2011 "2011_1" 28 427.5
"413" "Ocourt, La Motte, Sur le Chaufour (ouest)" 2006 "2006_2" 28 452.7
"414" "Ocourt, La Motte, Sur le Chaufour (ouest)" 2007 "2007_1" 28 452.7
"415" "Ocourt, La Motte, Sur le Chaufour (ouest)" 2009 "2009_1" 28 452.7
"416" "Ocourt, La Motte, Sur le Chaufour (ouest)" 2010 "2010_1" 28 452.7
"417" "Ocourt, La Motte, Sur le Chaufour (ouest)" 2011 "2011_1" 28 452.7
"418" "Ofenpass, Ostseite" 1988 "1988_6" NA 2149.5
"419" "Olten, Rutigen (Nord), nördlich Altersheim [Ruttigen,Ruttiger]" 2003 "2003_4" 29 403.1
"420" "Olten, Rutigen (Nord), nördlich Altersheim [Ruttigen,Ruttiger]" 2004 "2004_5" 29 403.1
"421" "Olten, Rutigen (Nord), nördlich Altersheim [Ruttigen,Ruttiger]" 2005 "2005_5" 29 403.1
"422" "Olten, Rutigen (Nord), nördlich Altersheim [Ruttigen,Ruttiger]" 2006 "2006_6" 29 403.1
"423" "Olten, Rutigen (Nord), nördlich Altersheim [Ruttigen,Ruttiger]" 2007 "2007_6" 29 403.1
"424" "Olten, Rutigen (Nord), nördlich Altersheim [Ruttigen,Ruttiger]" 2008 "2008_5" 29 403.1
"425" "Olten, Rutigen (Nord), nördlich Altersheim [Ruttigen,Ruttiger]" 2009 "2009_6" 29 403.1
"426" "Olten, Rutigen (Nord), nördlich Altersheim [Ruttigen,Ruttiger]" 2010 "2010_6" 29 403.1
"427" "Olten, Rutigen (Nord), nördlich Altersheim [Ruttigen,Ruttiger]" 2011 "2011_8" 29 403.1
"428" "Olten, Rutigen (Nord), nördlich Altersheim [Ruttigen,Ruttiger]" 2012 "2012_8" 29 403.1
"429" "Olten, Rutigen (Nord), nördlich Altersheim [Ruttigen,Ruttiger]" 2013 "2013_8" 29 403.1
"430" "Olten, Rutigen (Nord), nördlich Altersheim [Ruttigen,Ruttiger]" 2014 "2014_6" 29 403.1
"431" "Olten, Rutigen (Nord), nördlich Altersheim [Ruttigen,Ruttiger]" 2015 "2015_3" 29 403.1
"432" "Olten, Rutigen (Nord), nördlich Altersheim [Ruttigen,Ruttiger]" 2016 "2016_4" 29 403.1
"433" "Olten, Rutigen (Nord), westlich Altersheim [Ruttigen,Ruttiger]" 2003 "2003_4" 29 428.4
"434" "Olten, Rutigen (Nord), westlich Altersheim [Ruttigen,Ruttiger]" 2004 "2004_5" 29 428.4
"435" "Olten, Rutigen (Nord), westlich Altersheim [Ruttigen,Ruttiger]" 2005 "2005_5" 29 428.4
"436" "Olten, Rutigen (Nord), westlich Altersheim [Ruttigen,Ruttiger]" 2006 "2006_6" 29 428.4
"437" "Olten, Rutigen (Nord), westlich Altersheim [Ruttigen,Ruttiger]" 2007 "2007_6" 29 428.4
"438" "Olten, Rutigen (Nord), westlich Altersheim [Ruttigen,Ruttiger]" 2008 "2008_5" 29 428.4
"439" "Olten, Rutigen (Nord), westlich Altersheim [Ruttigen,Ruttiger]" 2009 "2009_6" 29 428.4
"440" "Olten, Rutigen (Nord), westlich Altersheim [Ruttigen,Ruttiger]" 2010 "2010_6" 29 428.4
"441" "Olten, Rutigen (Nord), westlich Altersheim [Ruttigen,Ruttiger]" 2011 "2011_8" 29 428.4
"442" "Olten, Rutigen (Nord), westlich Altersheim [Ruttigen,Ruttiger]" 2012 "2012_8" 29 428.4
"443" "Olten, Rutigen (Nord), westlich Altersheim [Ruttigen,Ruttiger]" 2013 "2013_8" 29 428.4
"444" "Olten, Rutigen (Nord), westlich Altersheim [Ruttigen,Ruttiger]" 2014 "2014_6" 29 428.4
"445" "Olten, Rutigen (Nord), westlich Altersheim [Ruttigen,Ruttiger]" 2015 "2015_3" 29 428.4
"446" "Olten, Rutigen (Nord), westlich Altersheim [Ruttigen,Ruttiger]" 2016 "2016_4" 29 428.4
"447" "Osterfingen, Haartel" 1979 "1979_7" NA 473.2
"448" "Pedrinate, Santo Stefano, Rebberg" 2007 "2007_4" 30 462
"449" "Pedrinate, Santo Stefano, Rebberg" 2008 "2008_6" 30 462
"450" "Pedrinate, Santo Stefano, Rebberg" 2009 "2009_7" 30 462
"451" "Pedrinate, Santo Stefano, Rebberg" 2010 "2010_7" 30 462
"452" "Pedrinate, Santo Stefano, Rebberg" 2011 "2011_3" 30 462
"453" "Pedrinate, Santo Stefano, Wald" 2007 "2007_4" 30 470.4
"454" "Pedrinate, Santo Stefano, Wald" 2008 "2008_6" 30 470.4
"455" "Pedrinate, Santo Stefano, Wald" 2009 "2009_7" 30 470.4
"456" "Pedrinate, Santo Stefano, Wald" 2010 "2010_7" 30 470.4
"457" "Pedrinate, Santo Stefano, Wald" 2011 "2011_3" 30 470.4
"458" "Pilatus-Kulm" 1977 "1977_1" NA 2063.8
"459" "Pilatus-Kulm" 1978 "1978_2" NA 2063.8
"460" "Pilatus-Kulm" 1979 "1979_8" NA 2063.8
"461" "Pilatus-Kulm" 1980 "1980_8" NA 2063.8
"462" "Ponte Tresa / Pura, Mt. Rocchetta-Süd, Via ai Ronchi" 2016 "2016_2" 5 392.6
"463" "Ponte Tresa / Pura, Mt. Rocchetta-Süd, Via ai Ronchi" 2017 "2017_2" 5 392.6
"464" "Ponte Tresa / Pura, Mt. Rocchetta-Süd, Via ai Ronchi" 2018 "2018_2" 5 392.6
"465" "Reussdelta, Auenwald" 1998 "1998_5" 31 435.3
"466" "Reussdelta, Auenwald" 1999 "1999_7" 31 435.3
"467" "Reussdelta, Auenwald" 2000 "2000_5" 31 435.3
"468" "Reussdelta, Auenwald" 2001 "2001_3" 31 435.3
"469" "Reussdelta, Ried" 1998 "1998_5" 31 434.4
"470" "Reussdelta, Ried" 1999 "1999_7" 31 434.4
"471" "Reussdelta, Ried" 2000 "2000_5" 31 434.4
"472" "Reussdelta, Ried" 2001 "2001_3" 31 434.4
"473" "Rigi-Kulm" 1977 "1977_1" NA 1768.7
"474" "Rigi-Kulm" 1978 "1978_1" NA 1768.7
"475" "Rigi-Kulm" 1979 "1979_1" NA 1768.7
"476" "Rigi-Kulm" 1980 "1980_1" NA 1768.7
"477" "Rochers de Naye, Nordseite, Bahnstation" 2010 "2010_8" NA 1958.6
"478" "Rochers de Naye, Nordseite, Bahnstation" 2011 "2011_9" NA 1958.6
"479" "Romoos, Mittlere Grämsen, Wald" 1992 "1992_5" 32 915.9
"480" "Romoos, Mittlere Grämsen, Wald" 1993 "1993_3" 32 915.9
"481" "Romoos, Mittlere Grämsen, Wald" 1994 "1994_4" 32 915.9
"482" "Romoos, Mittlere Grämsen, Wald" 1995 "1995_4" 32 915.9
"483" "Romoos, Mittlere Grämsen, Wiese" 1992 "1992_5" 32 925.8
"484" "Romoos, Mittlere Grämsen, Wiese" 1993 "1993_3" 32 925.8
"485" "Romoos, Mittlere Grämsen, Wiese" 1994 "1994_4" 32 925.8
"486" "Romoos, Mittlere Grämsen, Wiese" 1995 "1995_4" 32 925.8
"487" "Romoos, Unter Änzi" 1991 "1991_4" NA 1246.1
"488" "Romoos, Unter Änzi" 1992 "1992_5" NA 1246.1
"489" "Romoos, Unter Änzi" 1993 "1993_3" NA 1246.1
"490" "Rüss-Spitz, Auenwald" 1987 "1987_6" 33 388.2
"491" "Rüss-Spitz, Auenwald" 1988 "1988_7" 33 388.2
"492" "Rüss-Spitz, Auenwald" 1989 "1989_5" 33 388.2
"493" "Rüss-Spitz, Ried" 1987 "1987_6" 33 387.8
"494" "Rüss-Spitz, Ried" 1988 "1988_7" 33 387.8
"495" "Rüss-Spitz, Ried" 1989 "1989_5" 33 387.8
"496" "Rüss-Spitz, Waldrand" 1987 "1987_6" 33 388.1
"497" "Rüss-Spitz, Waldrand" 1988 "1988_7" 33 388.1
"498" "Rüss-Spitz, Waldrand" 1989 "1989_5" 33 388.1
"499" "Saignelégier, Etang de la Gruère (ouest)" 2009 "2009_1" NA 1000.6
"500" "Saignelégier, Etang de la Gruère (ouest)" 2010 "2010_1" NA 1000.6
"501" "Saignelégier, Etang de la Gruère (ouest)" 2011 "2011_1" NA 1000.6
"502" "Saignelégier, La Theurre (sud-est)" 2009 "2009_1" 34 1016.6
"503" "Saignelégier, La Theurre (sud-est)" 2010 "2010_1" 34 1016.6
"504" "Saignelégier, La Theurre (sud-est)" 2011 "2011_1" 34 1016.6
"505" "Schwanden, Sool, Weid, Wald" 2005 "2005_2" 12 712
"506" "Schwanden, Sool, Weid, Wald" 2006 "2006_4" 12 712
"507" "Schwanden, Sool, Weid, Wald" 2007 "2007_2" 12 712
"508" "Schwanden, Sool, Weid, Wiesen" 2005 "2005_2" 12 738.5
"509" "Schwanden, Sool, Weid, Wiesen" 2006 "2006_4" 12 738.5
"510" "Schwanden, Sool, Weid, Wiesen" 2007 "2007_2" 12 738.5
"511" "Sempach, Vogelwarte" 1977 "1977_1" NA 504.3
"512" "Sempach, Vogelwarte" 1978 "1978_3" NA 504.3
"513" "Sempach, Vogelwarte" 1979 "1979_5" NA 504.3
"514" "Sempach, Vogelwarte" 1980 "1980_6" NA 504.3
"515" "Seseglio, Càmpora" 1997 "1997_2" NA 260.7
"516" "Seseglio, Càmpora" 1998 "1998_4" NA 260.7
"517" "Seseglio, Càmpora" 1999 "1999_6" NA 260.7
"518" "Somazzo, Càmpora, Brücke" 1990 "1990_3" NA 611.7
"519" "Somazzo, Càmpora, Brücke" 1991 "1991_2" NA 611.7
"520" "Somazzo, Scereda" 1990 "1990_3" 25 937
"521" "Somazzo, Scereda" 1991 "1991_2" 25 937
"522" "Somazzo, Scereda" 1994 "1994_2" 25 937
"523" "Somazzo, Scereda" 1995 "1995_3" 25 937
"524" "Somazzo, Scereda" 1996 "1996_1" 25 937
"525" "Somazzo, Scereda" 1997 "1997_2" 25 937
"526" "Somazzo, Scereda" 1998 "1998_4" 25 937
"527" "Somazzo, Scereda" 1999 "1999_6" 25 937
"528" "Somazzo, Torretta-Ostseite" 1985 "1985_5" NA 579
"529" "Somazzo, Torretta-Ostseite" 1986 "1986_6" NA 579
"530" "Somazzo, Torretta-Ostseite" 1987 "1987_1" NA 579
"531" "Somazzo, Torretta, Vetta (Spitze)" 1990 "1990_3" 25 613.5
"532" "Somazzo, Torretta, Vetta (Spitze)" 1991 "1991_2" 25 613.5
"533" "Somazzo, Zoca, Val. Giascia, Nadel-Laubmischwald" 1994 "1994_2" 25 1068.7
"534" "Somazzo, Zoca, Val. Giascia, Nadel-Laubmischwald" 1995 "1995_3" 25 1068.7
"535" "Somazzo, Zoca, Val. Giascia, Nadel-Laubmischwald" 1996 "1996_1" 25 1068.7
"536" "Somazzo, Zoca, Val. Giascia, Nadel-Laubmischwald" 1997 "1997_2" 25 1068.7
"537" "Somazzo, Zoca, Val. Giascia, Nadel-Laubmischwald" 1998 "1998_4" 25 1068.7
"538" "Somazzo, Zoca, Val. Giascia, Nadel-Laubmischwald" 1999 "1999_6" 25 1068.7
"539" "St-Ursanne, Sur les Roches, Gebüsch" 2012 "2012_4" 9 552.2
"540" "St-Ursanne, Sur les Roches, Gebüsch" 2013 "2013_3" 9 552.2
"541" "St-Ursanne, Sur les Roches, Gebüsch" 2014 "2014_3" 9 552.2
"542" "St-Ursanne, Sur les Roches, Wald" 2012 "2012_4" 9 590.1
"543" "St-Ursanne, Sur les Roches, Wald" 2013 "2013_3" 9 590.1
"544" "St-Ursanne, Sur les Roches, Wald" 2014 "2014_3" 9 590.1
"545" "Sta Maria Müstair, Umbrailpass, Nordseite, Feldweg" 1988 "1988_6" 23 2421.6
"546" "Sta Maria Müstair, Umbrailpass, Nordseite, Feldweg" 1990 "1990_4" 23 2421.6
"547" "Sta Maria Müstair, Umbrailpass, Nordseite, Feldweg" 1999 "1999_5" 23 2421.6
"548" "Sta Maria Müstair, Umbrailpass, Nordseite, Feldweg" 2000 "2000_4" 23 2421.6
"549" "Sta Maria Müstair, Umbrailpass, Nordseite, Feldweg" 2004 "2004_4" 23 2421.6
"550" "Sta. Maria Müstair, Rom-Ufer" 1986 "1986_7" 23 1381.3
"551" "Sta. Maria Müstair, Rom-Ufer" 1988 "1988_6" 23 1381.3
"552" "Sta. Maria Müstair, Rom-Ufer" 1989 "1989_4" 23 1381.3
"553" "Sta. Maria Müstair, Rom-Ufer" 1990 "1990_4" 23 1381.3
"554" "Sta. Maria Müstair, Rom-Ufer" 1992 "1992_3" 23 1381.3
"555" "Sta. Maria Müstair, Rom-Ufer" 2000 "2000_4" 23 1381.3
"556" "Sta. Maria Müstair, Val Muraunza, Muraunzabrücke" 1988 "1988_6" 23 1891.1
"557" "Sta. Maria Müstair, Val Muraunza, Muraunzabrücke" 1990 "1990_4" 23 1891.1
"558" "Sta. Maria Müstair, Val Muraunza, Muraunzabrücke" 1991 "1991_3" 23 1891.1
"559" "Sta. Maria Müstair, Val Muraunza, Muraunzabrücke" 1999 "1999_5" 23 1891.1
"560" "Sta. Maria Müstair, Val Muraunza, Muraunzabrücke" 2000 "2000_4" 23 1891.1
"561" "Stabio, Laveggio-Ufer" 1988 "1988_2" NA 335.3
"562" "Stabio, Laveggio-Ufer" 1989 "1989_2" NA 335.3
"563" "Stabio, Laveggio-Ufer" 1992 "1992_4" NA 335.3
"564" "Stabio, Laveggio-Ufer" 1999 "1999_6" NA 335.3
"565" "Stabio, Laveggio-Ufer" 2000 "2000_1" NA 335.3
"566" "Stabio, Laveggio-Ufer" 2001 "2001_1" NA 335.3
"567" "Stabio, Laveggio-Ufer" 2002 "2002_4" NA 335.3
"568" "Stabio, Laveggio-Ufer" 2003 "2003_5" NA 335.3
"569" "Stabio, Montalbano, Monticello" 1991 "1991_2" NA 411.3
"570" "Stabio, Montalbano, Monticello" 1992 "1992_4" NA 411.3
"571" "Stabio, Montalbano, Monticello" 1993 "1993_2" NA 411.3
"572" "Stabio, Montalbano, Monticello" 1994 "1994_2" NA 411.3
"573" "Stabio, Montalbano, Monticello" 1995 "1995_3" NA 411.3
"574" "Stans, Bürgenberg, Charenzug, Wald" 2009 "2009_4" 35 468.3
"575" "Stans, Bürgenberg, Charenzug, Wald" 2010 "2010_4" 35 468.3
"576" "Stans, Grossried, Gnappiried" 2008 "2008_7" 35 449
"577" "Stans, Grossried, Gnappiried" 2009 "2009_4" 35 449
"578" "Stans, Grossried, Gnappiried" 2010 "2010_4" 35 449
"579" "Ticino-Mündung, Bolette-Nord" 1981 "1981_5" 14 194.3
"580" "Ticino-Mündung, Bolette-Nord" 1982 "1982_5" 14 194.3
"581" "Ticino-Mündung, Bolette-Nord" 1983 "1983_4" 14 194.3
"582" "Ticino-Mündung, Bolette-Nord" 1984 "1984_3" 14 194.3
"583" "Ticino-Mündung, Bolette-Nord" 1993 "1993_1" 14 194.3
"584" "Ticino-Mündung, Bolette-Süd (Magadino)" 1981 "1981_5" 14 194.9
"585" "Ticino-Mündung, Bolette-Süd (Magadino)" 1983 "1983_4" 14 194.9
"586" "Ticino-Mündung, Bolette-Süd (Magadino)" 1984 "1984_3" 14 194.9
"587" "Ticino-Mündung, Bolette-Süd (Magadino)" 1993 "1993_1" 14 194.9
"588" "Ticino-Mündung, Bolette-Süd (Magadino)" 1994 "1994_1" 14 194.9
"589" "Ticino-Mündung, Bolette-Süd (Magadino)" 1995 "1995_2" 14 194.9
"590" "Tschierv Süd, Sura" 1989 "1989_4" 23 1707.6
"591" "Tschierv Süd, Sura" 2004 "2004_4" 23 1707.6
"592" "Tschierv West, Ofenpass-Strasse" 1988 "1988_6" 23 1784.7
"593" "Tschierv West, Ofenpass-Strasse" 1989 "1989_4" 23 1784.7
"594" "Tschierv West, Ofenpass-Strasse" 1999 "1999_5" 23 1784.7
"595" "Tschierv West, Ofenpass-Strasse" 2000 "2000_4" 23 1784.7
"596" "Tschierv West, Ofenpass-Strasse" 2004 "2004_4" 23 1784.7
"597" "Ufhusen, Gustihubel" 1994 "1994_4" NA 702.7
"598" "Ufhusen, Gustihubel" 1995 "1995_4" NA 702.7
"599" "Ufhusen, Gustihubel" 1996 "1996_2" NA 702.7
"600" "Unterschächen, Ringli, Wald" 2016 "2016_3" 19 1211.2
"601" "Unterschächen, Ringli, Wald" 2017 "2017_3" 19 1211.2
"602" "Unterschächen, Ringli, Wald" 2018 "2018_3" 19 1211.2
"603" "Unterschächen, Ringli, Wiese" 2016 "2016_3" 19 1211.2
"604" "Unterschächen, Ringli, Wiese" 2017 "2017_3" 19 1211.2
"605" "Unterschächen, Ringli, Wiese" 2018 "2018_3" 19 1211.2
"606" "Urserental, Furkastrasse, Restaurant Galenstock" 1981 "1981_1" NA 2002.8
"607" "Urserental, Furkastrasse, Restaurant Galenstock" 1982 "1982_1" NA 2002.8
"608" "Urserental, Furkastrasse, Restaurant Galenstock" 1983 "1983_1" NA 2002.8
"609" "Urserental, Furkastrasse, Restaurant Galenstock" 1984 "1984_1" NA 2002.8
"610" "Val d'Isone, Medeglia" 2000 "2000_1" NA 694.3
"611" "Val d'Isone, Medeglia" 2001 "2001_1" NA 694.3
"612" "Valle Onsernone, Fermata Cratolo [Ponte di Cratolo]" 1984 "1984_3" NA 569
"613" "Valle Onsernone, Fermata Cratolo [Ponte di Cratolo]" 1986 "1986_3" NA 569
"614" "Valle Onsernone, Fermata Cratolo [Ponte di Cratolo]" 1987 "1987_4" NA 569
"615" "Valle Onsernone, Fermata Cratolo [Ponte di Cratolo]" 2006 "2006_7" NA 569
"616" "Valle Onsernone, Fermata Cratolo [Ponte di Cratolo]" 2007 "2007_7" NA 569
"617" "Visperterminen W., Fettwiesen" 1994 "1994_5" 36 1465.1
"618" "Visperterminen W., Fettwiesen" 1995 "1995_5" 36 1465.1
"619" "Visperterminen W., Fettwiesen" 1996 "1996_3" 36 1465.1
"620" "Visperterminen W., Fettwiesen" 1997 "1997_3" 36 1465.1
"621" "Visperterminen, Ackergebiet" 1994 "1994_5" 36 1433.7
"622" "Visperterminen, Ackergebiet" 1995 "1995_5" 36 1433.7
"623" "Visperterminen, Ackergebiet" 1996 "1996_3" 36 1433.7
"624" "Visperterminen, Ackergebiet" 1997 "1997_3" 36 1433.7
"625" "Visperterminen, Beichji, Kapelle" 1994 "1994_5" 36 856.4
"626" "Visperterminen, Beichji, Kapelle" 1995 "1995_5" 36 856.4
"627" "Visperterminen, Beichji, Kapelle" 1996 "1996_3" 36 856.4
"628" "Visperterminen, Beichji, Kapelle" 1997 "1997_3" 36 856.4
"629" "Visperterminen, Beichji, Ribe (Rebberg)" 1994 "1994_5" 36 904.6
"630" "Visperterminen, Beichji, Ribe (Rebberg)" 1995 "1995_5" 36 904.6
"631" "Visperterminen, Beichji, Ribe (Rebberg)" 1996 "1996_3" 36 904.6
"632" "Visperterminen, Beichji, Ribe (Rebberg)" 1997 "1997_3" 36 904.6
"633" "Visperterminen, Beichji, Trockenhang" 1994 "1994_5" 36 862.8
"634" "Visperterminen, Beichji, Trockenhang" 1995 "1995_5" 36 862.8
"635" "Visperterminen, Beichji, Trockenhang" 1996 "1996_3" 36 862.8
"636" "Visperterminen, Beichji, Trockenhang" 1997 "1997_3" 36 862.8
"637" "Visperterminen, Beichji, Trockenhang" 1999 "1999_8" 36 862.8
"638" "Visperterminen, Brachland/Magerwiese" 1993 "1993_4" 36 1320.3
"639" "Visperterminen, Brachland/Magerwiese" 1994 "1994_5" 36 1320.3
"640" "Visperterminen, Brachland/Magerwiese" 1995 "1995_5" 36 1320.3
"641" "Visperterminen, Brachland/Magerwiese" 1996 "1996_3" 36 1320.3
"642" "Visperterminen, Brachland/Magerwiese" 1997 "1997_3" 36 1320.3
"643" "Wädenswil, Sandhof" 1977 "1977_3" NA 505.4
"644" "Wädenswil, Sandhof" 1978 "1978_4" NA 505.4
"645" "Wädenswil, Sandhof" 1979 "1979_9" NA 505.4
"646" "Wädenswil, Sandhof" 1980 "1980_9" NA 505.4
"647" "Wädenswil, Sandhof" 1981 "1981_8" NA 505.4
"648" "Wädenswil, Sandhof" 1982 "1982_8" NA 505.4
"649" "Wädenswil, Sandhof" 1983 "1983_7" NA 505.4
"650" "Wädenswil, Sandhof" 1984 "1984_7" NA 505.4
"651" "Wauwil, Wauwilermoos, Ron-Ufer" 1995 "1995_4" 37 497.2
"652" "Wauwil, Wauwilermoos, Ron-Ufer" 1996 "1996_2" 37 497.2
"653" "Wauwil, Wauwilermoos, Ron-Ufer" 1997 "1997_4" 37 497.2
"654" "Wauwil, Wauwilermoos, Schilfgebiet" 1995 "1995_4" 37 497.5
"655" "Wauwil, Wauwilermoos, Schilfgebiet" 1996 "1996_2" 37 497.5
"656" "Wauwil, Wauwilermoos, Schilfgebiet" 1997 "1997_4" 37 497.5
"657" "Wauwil, Wauwilermoos, Wiese" 1995 "1995_4" 37 496.8
"658" "Wauwil, Wauwilermoos, Wiese" 1996 "1996_2" 37 496.8
"659" "Wauwil, Wauwilermoos, Wiese" 1997 "1997_4" 37 496.8
"660" "Gotthard-Hospiz" 1983 "1983_1" NA 2087.4
"661" "Braunwald, Gumenbahn Talstation" 2008 "2008_2" NA 1305.4
"662" "Braunwald, Gumenbahn Talstation" 2009 "2009_2" NA 1305.4
"663" "Braunwald, Gumenbahn Talstation" 2010 "2010_2" NA 1305.4
